Fecha,Estación,Alcalinidad Total (mg CaCO3/L),Clorofila a (µg/L),Conductividad (µS/cm),Fosfato (ortofosfato) (µg PO4-P/L),Fósforo total (µg P/L),Ion Nitrito (mg NO2-N/L),Nitrato (mg NO3-N/L),Nitrógeno Amoniacal (amonio) (mg NH4-N/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) (sin unid),Sólidos suspendidos totales (mg/L),Temperatura (ºC),Turbidez (NTU)
22/07/2014 0:00,RU0,,,54.3,,70,,,,,8.23,6.8,10,17.2,
22/07/2014 0:00,RU1,30,0.1,42.3,0.039,71,0.004,0.53,0.034,1.29,8.73,6.84,10,17,32
22/07/2014 0:00,RU2,33,0.1,63.5,0.044,76,0.004,0.2,0.04,1.01,6.82,7.02,6,16.1,29
22/07/2014 0:00,RU3,34,0.3,63,0.035,66,0.004,0.5,0.036,1.23,8.13,6.48,7,16.5,29
22/07/2014 0:00,RU4,26,0.3,55.7,0.028,73,0.004,0.58,0.035,0.95,7.41,6.88,9,16.9,32
22/07/2014 0:00,RU5,28,0.1,55.4,0.032,67,0.004,0.57,0.026,1.19,8.57,6.99,11,17.1,32
22/07/2014 0:00,RU6,31,0.1,61.7,0.034,76,0.004,0.055,0.025,1.01,7.91,6.95,8,16.9,30
22/07/2014 0:00,RU7,33,0.1,57.2,0.051,69,0.004,0.26,0.049,0.93,8.26,7.16,8,16.9,31
22/07/2014 0:00,RU8,32,0.1,61.8,0.04,79,0.004,0.67,0.035,0.92,7.96,7.2,7,17,30
23/07/2014 0:00,RU10,38,0.1,64.5,0.073,140,0.005,0.32,0.058,1.06,8.08,6.55,16,16.2,32
23/07/2014 0:00,RU11,30,0.6,60.5,0.034,82,0.004,0.25,0.043,0.93,7.87,6.64,10,16.5,30
23/07/2014 0:00,RU12,31,0.1,59.7,0.028,120,0.004,0.31,0.043,1.08,8.59,6.72,11,16.8,33
23/07/2014 0:00,RU13,31,0.1,62.8,0.065,190,0.004,0.27,0.059,1.1,7.86,7.02,10,16.8,30
23/07/2014 0:00,RU14,31,0.1,64.2,0.045,90,0.004,0.27,0.081,1.26,8.51,6.79,22,16.3,33
23/07/2014 0:00,RU15,24,0.1,58.5,0.038,79,0.004,0.31,0.029,1,8.32,6.96,10,16.1,33
23/07/2014 0:00,RU16,34,0.1,65.7,0.042,130,0.005,0.28,0.068,1.32,8.22,7.02,35,16.3,47
23/07/2014 0:00,RU9,40,0.1,69.8,0.048,140,0.004,0.22,0.058,1.01,8.13,6.41,9,16.2,30
21/10/2014 0:00,RU0,,,55,,90,,,,,8.37,7.18,10,20.4,
21/10/2014 0:00,RU1,26,0.1,49.6,0.032,96,0.004,0.48,0.027,1.05,8.48,7.22,8,20.8,31
21/10/2014 0:00,RU2,34,,52.2,0.025,130,0.004,0.21,0.029,0.86,8.28,7.03,5,20.8,20
21/10/2014 0:00,RU3,33,0.3,53.8,0.036,110,0.004,0.28,0.031,0.92,8.39,7.19,6,21,22
21/10/2014 0:00,RU4,24,1.3,58.5,0.011,80,0.004,0.29,0.014,0.92,9.28,7.68,8,23.9,30
21/10/2014 0:00,RU5,27,0.1,55.4,0.034,87,0.004,0.43,0.028,1.05,8.8,7.22,7,23,27
21/10/2014 0:00,RU6,34,,56.3,0.033,94,0.004,0.34,0.034,0.93,8.95,7.28,5,22.7,25
21/10/2014 0:00,RU7,28,0.4,54.5,0.034,100,0.004,0.46,0.039,1.12,8.84,7.35,6,22,28
21/10/2014 0:00,RU8,31,,56.2,0.043,110,0.004,0.37,0.027,1.31,8.79,7.39,5,23,27
