Fecha,Estación,Alcalinidad Total (mg CaCO3/L),Clorofila a (µg/L),Conductividad (µS/cm),Fosfato (ortofosfato) (µg PO4-P/L),Fósforo total (µg P/L),Ion Nitrito (mg NO2-N/L),Nitrato (mg NO3-N/L),Nitrógeno Amoniacal (amonio) (mg NH4-N/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) (sin unid),Sólidos suspendidos totales (mg/L),Temperatura (ºC),Turbidez (NTU)
17/03/2015 0:00,RN1,49,1.5,126.1,100,147,<LD,0.17,0.055,0.78,7.82,7.49,27,25.9,
17/03/2015 0:00,RN2,37,0.1,94.8,51,102,LD<X<LC,0.16,0.018,0.74,6.46,7.23,LD<X<LC,29.7,
17/03/2015 0:00,RN3,43,0.4,105.6,72,104,0.082,0.18,<LC,0.73,7.87,7.93,<LD,29.6,
18/03/2015 0:00,RN5,37,4.3,79.2,34,136,<LD,<LD,<LC,0.53,8.07,7.79,LD<X<LC,26.4,
18/03/2015 0:00,RN5F,37,,79.3,34,55,<LD,<LD,<LD,0.43,8,8.19,LD<X<LC,26.5,
18/03/2015 0:00,RN6,36,2.7,79,32,67,<LD,<LD,0.015,0.46,8.149,7.91,LD<X<LC,26.5,
18/03/2015 0:00,RN7,36,3,79.4,32,43,<LD,<LD,0.019,0.45,7.6,7.81,LD<X<LC,26.2,
19/03/2015 0:00,RN10,36,1.3,82.9,51,123,LD<X<LC,<LD,0.022,0.5,7.9,7.82,12,26.5,
19/03/2015 0:00,RN9,36,5.3,81.1,33,62,LD<X<LC,<LD,0.081,0.46,7.42,7.44,12,25.9,
19/03/2015 0:00,RN9F,36,,81.9,35,110,LD<X<LC,<LD,0.017,0.53,7.38,7.76,11,26.1,
24/03/2015 0:00,RN11,41,2.1,84.7,41,84,<LD,<LC,0.029,0.5,7.32,6.81,9,24,
24/03/2015 0:00,RN12,53,3.3,110.4,71,103,LD<X<LC,0.11,0.03,0.56,7.57,7.16,6,23.8,
25/03/2015 0:00,RN13,41,0.1,91.2,64,130,<LD,0.063,0.015,0.42,7.19,6.55,5,23.9,
25/03/2015 0:00,RN13F,41,,93.7,69,111,<LD,0.066,0.019,0.41,7.58,6.66,5,21.5,
25/03/2015 0:00,RN14,42,1.9,92.8,72,122,<LD,0.073,0.029,0.42,7.21,6.65,5,24.1,
26/03/2015 0:00,RN15,44,1.3,95.9,66,79,LD<X<LC,0.11,<LC,0.5,7.87,7.54,LD<X<LC,23,
26/03/2015 0:00,RN16,44,1.6,96.4,82,88,LD<X<LC,0.12,0.016,0.5,7.52,7.27,5,23,
26/03/2015 0:00,RN17,46,0.7,101.9,65,112,LD<X<LC,0.087,<LC,0.42,7.82,7.25,5,22.8,
02/06/2015 9:30,RN1,57,2.1,137.4,99,180,0.014,1.2,<LD,1.9,8.81,7.37,19,13.1,
02/06/2015 9:30,RN2,56,1.2,131.8,70,120,0.007,0.4,0.048,0.9,9.2,7.96,17,16.8,
02/06/2015 9:30,RN3,50,8,101.9,72,110,<LC,0.25,LD<x<LC,0.7,12.05,8.62,<LD,20,
03/06/2015 10:39,RN5,38,1.6,71.2,44,79,<LD,0.068,<LD,0.41,9.07,7.34,<LD,17,
03/06/2015 10:39,RN5F,37,,71.6,46,78,<LD,0.099,LD<x<LC,0.42,8.98,7.48,<LD,17.2,
03/06/2015 10:39,RN6,37,0.3,72.7,48,78,<LD,0.074,0.032,0.47,8.82,7.23,<LD,17,
03/06/2015 10:39,RN7,41,0.9,78.1,51,81,<LD,0.088,0.025,0.52,8.81,7.07,<LD,17,
05/06/2015 11:39,RN10,42,1.8,80.5,51,67,LD<x<LC,0.17,LD<x<LC,0.59,9.35,8.12,LD<x<LC,18.2,
05/06/2015 11:39,RN9,41,,76.3,52,76,LD<x<LC,0.19,LD<x<LC,0.59,8.94,7.76,LD<x<LC,17.1,
05/06/2015 11:39,RN9F,41,,77.7,50,84,<LD,0.18,LD<x<LC,0.54,8.94,7.81,LD<x<LC,17.4,
09/06/2015 10:51,RN11,43,1,80.8,56,77,LD<x<LC,0.18,<LD,0.57,9.26,7.72,LD<x<LC,17.2,
09/06/2015 10:51,RN12,50,1.3,95.6,51,87,<LD,0.21,LD<x<LC,0.58,9.25,7.41,LD<x<LC,17.1,
10/06/2015 10:29,RN13,43,2.2,81.9,52,83,<LD,0.075,<LD,0.39,9.24,7.21,6,17.7,
10/06/2015 10:29,RN13F,43,,81.9,51,75,<LD,<LC,LD<x<LC,0.37,9.56,7.29,8,17.6,
10/06/2015 10:29,RN14,44,0.5,82.4,58,73,<LD,0.086,<LD,0.44,9.43,7.42,LD<x<LC,17.9,
12/06/2015 10:18,RN15,48,1.9,87.6,53,93,<LD,0.12,LD<x<LC,0.48,9.9,7.12,6,16.7,
12/06/2015 10:18,RN16,51,1.9,93.7,60,93,<LD,0.12,LD<x<LC,0.48,9.66,7.18,5,16.8,
12/06/2015 10:18,RN17,110,12.7,198.4,63,96,0.006,0.23,0.035,1.23,9.16,7.79,7,16.9,
01/09/2015 0:00,RN1,34,0.6,87.9,62,120,LD<X<LC,0.18,0.044,1.5,7.88,6.09,35,16.6,
01/09/2015 0:00,RN2,27,3.1,68.9,40,,<LD,0.053,0.029,0.88,6.98,6.82,15,16.4,
01/09/2015 0:00,RN3,24,1,63.9,33,76,<LD,0.073,0.029,0.74,9.1,6.85,15,17,
02/09/2015 0:00,RN5,37,0.9,90.8,90,91,<LD,0.18,0.022,0.73,9.77,6.84,LD<X<LC,15.4,
02/09/2015 0:00,RN5F,36,,91.3,59,89,<LD,0.18,0.021,0.76,9.91,6.9,<LD,15.3,
02/09/2015 0:00,RN6,36,<LC,91.2,69,93,<LD,0.19,0.023,0.8,9.77,7.12,LD<X<LC,15.5,
02/09/2015 0:00,RN7,36,0.3,91.1,62,88,<LD,0.19,0.016,0.72,10.72,6.95,LD<X<LC,15.5,
03/09/2015 0:00,RN10,37,0.9,92.9,56,130,LD<X<LC,0.17,LD<X<LC,0.77,10.2,7.31,23,16.2,
03/09/2015 0:00,RN9,37,0.6,91.9,60,86,LD<X<LC,0.18,0.03,0.69,9.93,6.68,<LD,15.5,
03/09/2015 0:00,RN9F,37,,93.7,61,85,LD<X<LC,0.18,0.014,0.7,9.94,7.06,<LD,15.4,
08/09/2015 0:00,RN11,40,0.4,85.2,57,81,LD<X<LC,0.2,0.018,0.73,9.05,7.85,LD<X<LC,16.1,
08/09/2015 0:00,RN12,63,0.4,149.8,82,120,0.005,0.22,0.084,1.03,8.62,7.78,LD<X<LC,16.6,
09/09/2015 0:00,RN13,34,0.7,84.5,95,120,0.009,0.2,0.025,0.81,8.59,7.53,LD<X<LC,16.1,
09/09/2015 0:00,RN13F,33,,84.9,82,100,0.008,0.21,0.034,0.78,8.57,8.16,LD<X<LC,15.8,
09/09/2015 0:00,RN14,33,0.3,84.3,82,100,0.009,0.2,0.065,0.83,8.4,7.99,LD<X<LC,15.9,
10/09/2015 0:00,RN15,40,<LC,94.9,77,100,0.006,0.21,0.043,0.76,9.17,7.92,LD<X<LC,15.2,
10/09/2015 0:00,RN16,40,0.6,94.1,79,120,0.006,0.22,0.016,0.75,8.86,8.04,LD<X<LC,15.2,
10/09/2015 0:00,RN17,37,0.3,93.3,81,110,LD<X<LC,0.22,0.018,0.84,8.69,8.08,LD<X<LC,15.5,
01/12/2015 0:00,RN1,38,6.1,91.4,LD<X<LC,140,7,0.33,0.059,1.32,7.27,7.02,67,22.5,
01/12/2015 0:00,RN2,34,5.8,84.6,58,81,LD<X<LC,0.16,0.03,1.01,6.68,7.13,13,24.2,
01/12/2015 0:00,RN3,28,13,67.1,54,120,LD<X<LC,0.079,<LC,0.83,9.41,7.22,13,23.4,
02/12/2015 0:00,RN5,30,2.4,69.4,45,85,<LD,0.18,<LC,0.75,8.61,7.46,<LD,23,
02/12/2015 0:00,RN5F,30,,69.9,38,80,<LD,0.18,0.013,0.74,8.34,7.44,<LD,23.1,
02/12/2015 0:00,RN6,29,0.4,69.8,43,90,<LD,0.19,<LC,0.79,8.34,7.54,<LD,22.3,
02/12/2015 0:00,RN7,30,0.7,68.8,44,130,<LD,0.19,<LC,0.75,8.15,7.41,<LD,21.7,
03/12/2015 0:00,RN10,31,0.6,73.2,49,94,LD<X<LC,0.2,0.02,0.88,8.46,7.52,<LD,23.2,
03/12/2015 0:00,RN9,30,0.9,70.3,64,120,LD<X<LC,0.21,0.016,0.72,8.47,7.37,<LD,22,
03/12/2015 0:00,RN9F,31,,72.6,45,89,LD<X<LC,0.21,<LC,0.87,8.21,7.65,<LD,22.9,
08/12/2015 0:00,RN11,34,0.6,76.9,50,96,<LC,0.21,0.014,0.84,7.7,7.05,LD<X<LC,22.6,
08/12/2015 0:00,RN12,45,3.8,103.3,66,110,LD<X<LC,0.24,0.018,0.87,7.87,7.31,LD<X<LC,23.5,
10/12/2015 0:00,RN13,34,6.2,81.8,43,83,LD<X<LC,0.19,0.015,0.79,8.73,7.66,LD<X<LC,24.6,
10/12/2015 0:00,RN13F,33,,82.9,49,110,<LC,0.21,0.021,0.76,8.14,7.63,LD<X<LC,23.9,
10/12/2015 0:00,RN14,33,1,79.4,53,99,LD<X<LC,0.24,<LC,0.75,7.78,7.22,LD<X<LC,22.9,
10/12/2015 0:00,RN15,37,1.3,89.3,56,100,LD<X<LC,0.3,<LC,0.84,7.6,7.2,LD<X<LC,24.2,
10/12/2015 0:00,RN16,43,2.2,99.1,62,100,LD<X<LC,0.27,<LC,0.84,7.75,7.24,LD<X<LC,24,
10/12/2015 0:00,RN17,43,13,103.7,55,110,LD<X<LC,0.2,0.015,0.89,8.66,7.59,LD<X<LC,25.6,
23/02/2016 9:33,RN1,44,10.8,118.2,48,190,LD<X<LC,0.35,0.019,1.77,6.91,7.99,46,27.5,
23/02/2016 11:58,RN2,49,9.6,114.9,50,150,LD<X<LC,0.09,0.036,0.76,7.53,7.75,22,28.6,
23/02/2016 14:43,RN3,29,1.8,69.8,90,130,LD<X<LC,0.07,0.021,0.64,7.8,7.85,LD<x<LC,29.8,
24/02/2016 9:33,RN6,32,6.5,70.6,31,94,LD<X<LC,<0.06,0.034,0.54,7.21,7.51,LD<x<LC,26.9,
24/02/2016 10:22,RN7,31,3.1,71.4,33,96,LD<X<LC,<0.06,0.027,0.51,6.79,7.77,LD<x<LC,27.1,
24/02/2016 11:50,RN5,32,40.4,72.5,21,93,<LD,<0.02,0.031,0.76,9.49,8.93,19,28.2,
24/02/2016 12:13,RN5F,32,,73.1,32,100,<LD,<0.06,0.021,0.5,7.07,8.16,LD<x<LC,28.8,
25/02/2016 10:20,RN9,35,9,74.1,27,120,<LD,<0.06,0.022,0.63,7.34,7.52,LD<x<LC,27.6,
25/02/2016 10:46,RN9F,35,,76.3,35,120,<LD,0.06,<LC,0.54,6.98,7.86,LD<x<LC,28.2,
25/02/2016 11:30,RN10,36,2.1,82.1,40,130,<LD,0.07,0.016,0.55,6.96,7.9,LD<x<LC,28,
01/03/2016 10:09,RN11,36,1.5,73.5,43,110,0.005,0.11,<LC,0.58,6.71,7.38,LD<X<LC,26.1,
01/03/2016 16:15,RN14,37,5.8,79.5,63,140,<LD,0.12,0.033,0.5,6.87,7.32,LD<X<LC,26.2,
02/03/2016 10:20,RN12,44,3.6,91.6,100,200,<LD,0.15,0.013,0.68,7.21,7.53,7,24.7,
02/03/2016 13:01,RN13F,37,,79.4,64,150,<LD,0.07,<LC,0.52,7.42,7.56,5,25.7,
02/03/2016 13:14,RN13,37,3.3,78.7,59,150,<LD,0.13,<LC,0.53,6.81,7.47,LD<X<LC,25.7,
03/03/2016 9:35,RN15,44,4,89.4,63,180,<LD,0.07,<LC,0.58,7.39,7.43,8,25,
03/03/2016 10:01,RN16,43,4.9,89.4,62,160,LD<X<LC,0.09,<LC,2.3,7.31,7.56,8,25,
03/03/2016 12:00,RN17,43,5.2,90.5,73,160,LD<X<LC,0.1,<LC,0.62,6.67,7.5,LD<X<LC,25.2,
24/05/2016 9:10,RN1,23,1.3,71,59,120,<LD,0.29,0.071,0.87,11.01,6.81,21.6,11,
24/05/2016 12:58,RN2,31,1,77.3,41,91,<LD,0.15,0.027,1.16,9.28,7.61,9.4,13.2,
24/05/2016 14:10,RN3,36,2.2,77.8,60,100,<LD,0.15,0.069,0.75,9,6.99,4.6,14.9,
25/05/2016 9:38,RN5F,24,,58.5,47,85,LD<X<LC,0.06,0.017,0.68,10.15,7.08,<LC,13.7,
25/05/2016 9:46,RN5,27,0.3,57.9,44,80,LD<X<LC,0.1,0.023,0.63,10.07,7.06,<LC,14.1,
25/05/2016 10:52,RN6,24,0.1,58.9,53,100,LD<X<LC,0.09,0.04,0.78,9.9,7.23,7.2,14.2,
25/05/2016 12:08,RN7,24,0.3,58.4,48,83,LD<X<LC,0.11,0.21,0.65,11.58,7.15,<LC,14.3,
26/05/2016 10:49,RN9F,27,,62.7,43,85,LD<X<LC,0.08,0.021,0.69,11.09,7.36,3,14.1,
26/05/2016 11:00,RN9,27,0.3,62.5,46,85,LD<X<LC,0.09,0.021,0.71,11.06,7.24,<LC,14.1,
26/05/2016 11:42,RN10,26,1.3,63.1,50,84,0.005,0.14,0.039,0.87,10.85,7.07,9.2,14.3,
31/05/2016 10:09,RN11,29,0.3,65.1,47,84,LD<X<LC,0.11,0.018,0.68,10.38,6.78,LD<X<LC,14.2,
31/05/2016 10:28,RN12,100,0.7,221,98,140,0,0.26,0.1,0.91,9.91,7.05,LD<X<LC,13.4,
01/06/2016 13:00,RN13,30,0.6,70.9,55,89,<LD,0.14,<LC,0.7,9.99,7.06,LD<X<LC,14.2,
01/06/2016 13:20,RN13F,31,,71.2,56,89,<LD,0.12,<LC,0.71,9.88,7.48,LD<X<LC,14.4,
01/06/2016 14:19,RN14,32,0.3,71.9,48,89,<LD,0.14,<LC,0.72,11.79,7.35,LD<X<LC,14.3,
02/06/2016 9:35,RN15,37,0.3,83.2,57,93,<LD,0.14,<LC,19.5,11.2,7.08,LD<X<LC,13.7,
02/06/2016 9:52,RN16,38,<LC,85.7,55,94,<LD,0.14,<LC,4.28,11.1,7.45,LD<X<LC,13.6,
02/06/2016 11:27,RN17,38,,86.2,55,100,LD<X<LC,0.14,0.04,3.01,10.43,7.35,11,13.3,
20/09/2016 9:40,RN1,36,1.6,82,67,76,LD<X<LC,0.21,0.087,1.73,8.56,7.81,49,15.6,
20/09/2016 12:10,RN2,35,1.8,80.9,36,42,LD<X<LC,0.11,<LD,0.87,8.23,8.23,18,17.8,
20/09/2016 14:12,RN3,35,1.8,74.2,30,40,<LD,0.11,0.022,1.51,9.14,7.33,LD<x<LC,19.7,
21/09/2016 10:32,RN5,28,0.7,59.2,37,47,LD<X<LC,0.19,<LC,0.64,10.25,10.25,<LD,14.6,
21/09/2016 10:52,RN5F,27,,60.4,38,53,<LD,0.19,<LD,0.66,10.27,6.88,<LD,15,
21/09/2016 11:55,RN7,30,<LC,58.9,37,46,LD<X<LC,0.19,<LD,0.67,10.96,7.77,<LD,14.4,
21/09/2016 13:22,RN6,29,1.5,68.1,21,36,<LD,0.19,<LC,0.92,9.48,7.55,21,17,
22/09/2016 9:58,RN9,29,0.1,61.9,40,49,LD<X<LC,0.2,<LD,0.76,11.38,7.52,<LD,14.8,
22/09/2016 10:16,RN9F,30,,62.9,37,48,<LD,0.2,<LC,0.76,11.5,7.21,<LD,15.3,
22/09/2016 11:10,RN10,29,0.1,63.6,36,40,<LD,0.19,<LD,0.79,10.69,7.72,14,15.7,
27/09/2016 9:21,RN11,30,0.7,64.8,35,52,<LD,0.22,<LD,0.67,10.81,7.57,LD<X<LC,15.8,
27/09/2016 11:26,RN12,42,3.8,89.8,61,72,LD<X<LC,0.22,0.081,0.93,8.86,7.56,LD<X<LC,17.1,
28/09/2016 10:16,RN13,37,1,83.5,44,67,LD<X<LC,0.23,<LD,0.75,9.92,7.62,LD<X<LC,18.9,
28/09/2016 10:32,RN13F,36,,82.2,44,68,LD<X<LC,0.23,0.021,0.77,9.52,7.67,LD<X<LC,17.2,
28/09/2016 11:22,RN14,38,0.3,78.5,46,62,LD<X<LC,0.23,<LD,0.75,9.35,7.65,5,16,
29/09/2016 9:26,RN15,42,0.4,86,50,63,<LD,0.25,<LD,0.75,9.66,7.59,LD<X<LC,15.6,
29/09/2016 9:48,RN16,43,0.6,87.5,47,65,0.005,0.26,0.02,0.76,9.65,7.47,LD<X<LC,15.9,
29/09/2016 11:28,RN17,45,1.5,92.3,52,56,<LD,0.26,0.019,0.86,9.46,7.67,LD<X<LC,16.5,
22/11/2016 10:00,RN0,43,8.7,67.4,120,180,0.005,0.4,<LD,2.2,7.68,6.7,51,22.1,
22/11/2016 10:00,RN10,37,0.6,89.2,38,69,0.005,0.26,<LD,0.74,9.2,5.77,LD<x<LC,21.4,
