nombre_programa,codigo_pto,departamento,fecha_muestra,fecha_hora,id_muestra,clorofila_a_mg_l,feofitina_a_mg_l,alc_t_mg_ca_co3_l,conduc_m_s_cm,od_mg_l,p_h_sin_unid,sat_o2_percent,ssf_mg_l,sst_mg_l,ssv_mg_l,t_º_c,transparencia_cm,as_mg_l,cd_mg_l,ca_mg_l,cr_mg_l,fe_mg_l,mg_mg_l,hg_mg_l,ni_mg_l,pb_mg_l,k_mg_l,na_mg_l,zn_mg_l,n_amoniacal_mg_nh4_n_l,cn_total_mg_l,po4_mg_po4_p_l,pt_mg_p_l,no3_mg_no3_n_l,no2_mg_no2_n_l,nt_mg_n_l,termo_tmf_ufc_100ml,aox_mg_l,glifosato_mg_l,aldrin_mg_l,p_p_ddd_mg_l,p_p_dde_mg_l,p_p_ddt_mg_l,dieldrin_mg_l,endosulfan_alfa_mg_l,endosulfan_beta_mg_l,endosulfansulfato_mg_l,heptacloro_mg_l,lindano_mg_l,metoxicloro_mg_l,atrazina_mg_l,dbo5_mg_o2_l,sustfenolicas_mg_l,ampa_mg_l,st_mg_l,stf_mg_l,stv_mg_l,color_unidad_de_color,turbidez_ntu,cu_mg_l,se_mg_l,so4_mg_l,si_o2_mg_si_o2_l,colif_tmf_ufc_100ml,enteroc_sd_nmp_100m_l,ecoli_mf_ufc_100ml,pc_btotales_ng_l,toc_mg_l,dqo_mg_o2_l,ay_g_mg_l,dureza_t_mg_ca_co3_l,al_mg_l,s2_mg_l,heptacloroepoxido_mg_l,sd_mg_l,sdv_mg_l,pcb105_ng_l,pcb114_ng_l,pcb118_ng_l,pcb123_ng_l,pcb126_ng_l,pcb156_ng_l,pcb157_ng_l,pcb167_ng_l,pcb169_ng_l,pcb189_ng_l,pcb77_ng_l,pcb81_ng_l,b_mg_l,cl_mg_l,fenantreno_mg_l,fluoranteno_mg_l,fluoreno_mg_l,naftaleno_mg_l,pireno_mg_l,dibenzo_a_h_antraceno_mg_l,criseno_mg_l,benzo_a_antraceno_mg_l,benzo_a_pireno_mg_l,benzo_b_j_fluoranteno_mg_l,benzo_k_fluoranteno_mg_l,benzo_ghi_perileno_mg_l,acenafteno_mg_l,acenaftileno_mg_l,antraceno_mg_l,indeno_1_2_3_cd_pyreno_mg_l,deterg318_mg_l,ecoli_sd_nmp_100m_l
Rio Uruguay,RU3,RÍO NEGRO,2016-09-07,2016-09-07 00:00:00,3277935,0.4,1.1,30,62.4,10.44,7.83,100.4,4,6,2,13.6,70,0.002,0.001,9.6,NA,0.45,NA,NA,0.001,0.009,1.3,3.7,NA,NA,NA,0.011,NA,0.83,0.003,1.03,280,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,60,18,65,11,NA,0.001,1.6,13,2500,4.1,80,0.091,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU3,RÍO NEGRO,2014-07-22,2014-07-22 00:00:00,3277969,0.3,0.3,34,63,8.13,6.48,83.6,6,7,1,16.5,41,0.002,NA,8.2,NA,1.3,0.05,NA,NA,NA,1.8,2.6,NA,0.036,NA,0.035,66,0.5,0.004,1.23,110,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,67,34,100,29,NA,0.002,NA,17.4,2300,5.2,81,0.333,4.6,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU15,RÍO NEGRO,2015-06-24,2015-06-24 00:00:00,3278066,NA,NA,32,59.9,10.37,7.36,100.4,5,7,2,14.2,45,0.002,0.001,6.4,NA,0.3,NA,NA,0.006,0.009,1.1,2.5,NA,0.004,NA,0.026,66,0.97,0.003,1.24,73,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,71,35,85,24,0.006,0.001,1.8,16,3300,9.7,82,0.081,3.42,7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU8,RÍO NEGRO,2017-07-25,2017-07-25 15:31:00,3287051,NA,NA,28,56,9.91,7.27,97.6,NA,NA,NA,14.6,80,NA,NA,7.9,NA,0.32,3.1,NA,NA,NA,2.7,4.5,NA,NA,NA,20,84,0.71,0.005,0.89,130,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,77,49,28,100,12,NA,NA,1.6,15,4100,4.1,82,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU6,RÍO NEGRO,2017-07-25,2017-07-25 14:20:00,3287048,NA,NA,28,55,9.93,7.19,98.1,NA,NA,NA,14.8,75,NA,NA,7.8,NA,0.41,3.1,NA,NA,NA,2.8,4.4,NA,NA,NA,19,82,0.71,NA,0.87,240,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,58,32,100,14,NA,NA,1.3,15,3500,3.1,84,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU5,RÍO NEGRO,2018-05-08,2018-05-08 11:10:00,3288417,NA,NA,31,84,8.2,7.12,92,10,12,NA,21.4,40,NA,NA,8.7,NA,2.3,2.3,NA,NA,NA,1.9,3.1,NA,NA,NA,69,120,0.75,NA,1.34,110,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,130,74,55,130,30.4,0.005,NA,2.1,22,370,16,84,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU2,RÍO NEGRO,2015-08-18,2015-08-18 00:00:00,3278070,0.6,2.2,34,63.5,6.82,7.02,69.3,3,4,1,16.1,50,0.002,NA,8.6,0.002,5.5,NA,NA,0.002,0.002,1.7,3.4,NA,0.03,NA,0.066,270,0.5,0.003,1,170,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,77,36,130,17,NA,0.001,1.6,16,360,18,86,NA,7.7,7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU9,RÍO NEGRO,2015-08-19,2015-08-19 00:00:00,3278077,0.3,0.5,34,69.8,8.13,6.41,82.2,4,5,1,16.2,50,0.002,NA,8.8,0.002,1.9,NA,NA,0.002,0.002,1.6,3,NA,0.026,NA,0.072,160,0.58,0.003,1.16,120,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,72,25,130,18,0.006,0.001,1.7,15,430,20,86,NA,7.9,22,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU12,RÍO NEGRO,2015-08-19,2015-08-19 00:00:00,3278080,0.3,1.4,29,59.7,8.59,6.72,88,24,28,4,16.8,40,NA,NA,7.7,0.002,3.5,NA,NA,0.002,0.002,1.2,2.3,NA,0.025,NA,0.049,190,0.5,0.003,1.1,290,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,83,27,130,23,NA,0.001,1.6,15,1200,41,86,NA,8.4,28,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU13,RÍO NEGRO,2015-06-24,2015-06-24 00:00:00,3278064,0.4,0.2,33,61.8,10.26,7.57,99.8,3,3,1,13.9,55,0.002,0.001,6.8,NA,0.64,NA,NA,0.006,0.009,1.1,2.7,0.009,0.004,NA,0.03,65,0.98,0.003,1.12,500,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,81,31,85,25,0.006,0.001,1.9,16,15000,190,860,NA,3.07,7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU16,RÍO NEGRO,2014-12-17,2014-12-17 00:00:00,3278016,1,6.9,47,100,8.21,7.68,104.7,38,45,7,27.8,NA,0.002,NA,8.5,0.002,1.7,0.05,NA,NA,0.002,1.4,5.7,0.015,0.029,NA,0.035,94,0.37,0.004,1.5,840,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,99,49,100,30,NA,0.002,5.19,17.4,2800,9.7,870,NA,9.5,19,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU11,RÍO NEGRO,2017-01-18,2017-01-18 09:47:00,3287004,0.7,0.8,23,64.1,7.19,6.79,91.3,9,11,NA,27.6,NA,NA,NA,5.3,NA,1.4,1.4,NA,NA,NA,NA,1.8,NA,0.014,NA,49,79,0.62,NA,0.98,210,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,81,51,30,130,16,0.008,NA,1.2,15,500,7.4,88,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU15,RÍO NEGRO,2016-01-27,2016-01-27 00:00:00,3277880,5,2.7,24,62.5,7.12,7.3,92.3,3,4,1,28.7,NA,0.002,NA,5.4,0.002,1.7,NA,NA,0.002,0.002,1.7,3.9,0.01,0.004,NA,0.019,120,0.5,0.012,0.94,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,46,22,100,10,NA,0.001,2.5,14,40,39,9,NA,4.8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU2,RÍO NEGRO,2016-05-03,2016-05-03 00:00:00,3277901,NA,0.5,29,52.3,9.26,7.41,89.7,2,2,1,13.6,NA,0.002,NA,7,NA,1.3,NA,NA,NA,0.009,NA,1.8,0.015,0.017,NA,0.033,75,0.23,0.003,0.63,13,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,43,33,100,10,0.008,0.001,0.78,13,110,1,9.6,NA,12,16,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU7,RÍO NEGRO,2014-12-16,2014-12-16 00:00:00,3278007,NA,NA,32,69.8,7.9,7.51,97.3,4,5,1,25.8,65,0.002,NA,7.5,0.002,1.4,0.05,NA,0.002,0.002,0.5,3.1,0.015,0.018,NA,0.027,58,0.44,0.001,1.22,24,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,53,24,85,15,NA,0.002,2.44,17,170,2,9.6,NA,8.52,7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU4,RÍO NEGRO,2016-03-08,2016-03-08 00:00:00,3277886,7.5,11.2,30,51.6,9.86,7.86,122.2,5,7,2,27.4,55,0.002,NA,6.4,0.002,0.74,NA,NA,0.002,0.002,2.3,2.3,0.015,0.004,NA,0.011,110,0.41,0.003,0.86,25,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,81,57,24,100,13,NA,0.001,1.1,15,150,3,9.7,NA,5,23,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU7,RÍO NEGRO,2015-04-20,2015-04-20 00:00:00,3278041,3.7,2.4,27,58.4,8.84,6.97,NA,2,4,2,18.8,NA,0.002,NA,4.7,NA,0.89,NA,NA,NA,NA,1.5,1.3,NA,NA,NA,0.021,69,0.49,0.004,0.83,23,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,43,20,65,12,NA,0.002,1.2,17.8,200,3.1,9.7,NA,3.1,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU9,RÍO NEGRO,2015-04-21,2015-04-21 00:00:00,3278043,3.6,3.8,28,68,8.61,7.11,NA,2,3,1,18.3,NA,0.002,NA,4.9,NA,0.65,NA,NA,NA,NA,1.5,2.5,NA,NA,NA,0.038,73,0.51,0.004,0.79,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,48,22,65,12,NA,0.002,2.6,17.9,120,2.6,9.7,NA,2.7,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU11,RÍO NEGRO,2015-04-21,2015-04-21 00:00:00,3278045,2.6,4.7,27,61.35,8.94,7.37,NA,2,6,4,18.6,NA,0.002,NA,4.9,NA,1,NA,NA,NA,NA,1.7,2,NA,0.004,NA,0.011,76,0.49,0.004,0.78,10,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,45,30,65,13,NA,0.002,1.4,17.9,130,NA,9.7,NA,2.7,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU3,RÍO NEGRO,2016-03-08,2016-03-08 00:00:00,3277885,2.1,1.7,32,55.6,9.45,7.75,117.1,1,2,1,26.8,85,0.002,NA,6.8,0.002,0.42,NA,NA,0.002,0.002,1.4,2.4,0.015,0.004,NA,0.033,130,0.7,0.003,1.03,23,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,59,25,85,12,NA,0.001,1.2,17,100,4.1,9.8,NA,3.8,22,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU12,RÍO NEGRO,2015-04-21,2015-04-21 00:00:00,3278046,6.5,5.7,27,59.1,6.21,8.81,NA,2,4,2,18.8,NA,0.002,NA,4.6,NA,1.1,NA,NA,NA,NA,1.5,1.7,NA,NA,NA,0.011,70,0.51,0.004,0.87,19,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,44,24,65,12,NA,0.002,1.3,18,110,4.1,9.8,NA,3.2,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU5,RÍO NEGRO,2017-07-25,2017-07-25 13:34:00,3287046,NA,NA,27,54.4,9.93,7.38,97.8,NA,NA,NA,14.7,80,NA,NA,7.6,NA,1.1,3,NA,NA,NA,2.7,4.3,NA,0.028,NA,19,85,0.72,NA,0.86,340,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,NA,90,60,30,100,17,NA,NA,1.3,15,5000,6.3,91,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU13,RÍO NEGRO,2017-11-08,2017-11-08 09:35:00,3287075,NA,NA,27,72,7.65,7.19,88.7,NA,NA,NA,22.4,45,NA,NA,7,NA,2.1,2,NA,NA,NA,1.2,1.8,NA,0.071,NA,27,68,0.88,NA,1.15,1700,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,64,34,130,22,NA,NA,1.6,13,4500,41,930,NA,4.9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU4,RÍO NEGRO,2015-06-23,2015-06-23 00:00:00,3278055,NA,NA,25,53.6,10.68,7.4,100.2,4,6,2,12.5,40,0.002,0.001,6,NA,0.57,NA,NA,0.006,0.009,1.8,2.7,0.01,0.004,NA,0.028,72,0.98,0.003,1.11,270,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,56,33,85,22,0.006,0.001,1.5,16,3700,5.2,95,NA,2.96,16,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU16,RÍO NEGRO,2016-11-09,2016-11-09 00:00:00,3277965,0.7,0.5,31,75.4,7.35,7.42,87.4,3,5,2,23.5,45,0.002,0.001,7.4,NA,1.6,NA,NA,NA,0.009,0.5,3.3,0.052,0.043,NA,0.029,78,0.5,0.003,0.94,1200,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,59,28,130,17,NA,0.001,2,14,3900,520,950,NA,4.4,5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU16,RÍO NEGRO,2017-03-08,2017-03-08 13:30:00,3287038,5.2,2.6,28,73.7,8.13,7.31,100.9,NA,NA,NA,26.3,65,NA,NA,5.6,NA,0.42,1.8,NA,NA,NA,1.2,2.7,NA,NA,NA,23,66,0.46,0.005,0.77,1400,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,53,28,100,23,NA,NA,1.7,12,5000,12,950,0.078,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU12,RÍO NEGRO,2016-01-27,2016-01-27 00:00:00,3277877,3.7,2.7,23,57.8,7.21,7.26,92.6,3,4,1,28.5,NA,0.002,NA,5.3,0.002,1.2,NA,NA,0.002,0.002,1.6,1.7,0.01,0.004,NA,0.011,240,0.51,0.011,0.98,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,55,20,100,10,0.002,0.001,0.88,14,80,33,96,NA,4.5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU9,RÍO NEGRO,2017-11-08,2017-11-08 08:40:00,3287071,3.2,NA,29,74.1,7.92,7.28,90.3,NA,5,NA,21.8,40,NA,NA,7.1,NA,1.8,2,NA,NA,NA,1.6,2.2,NA,0.014,NA,38,86,0.91,NA,1.2,150,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,100,69,32,130,23,NA,NA,1.6,15,700,3.1,96,NA,5.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU15,RÍO NEGRO,2018-03-07,2018-03-07 12:30:00,3288297,3.4,NA,22,78.8,7.74,7.7,93.6,NA,NA,NA,25,55,NA,NA,5.5,NA,1.9,1.7,NA,NA,NA,1.5,3.3,NA,0.022,NA,35,940,0.95,NA,1.21,80,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,86,57,29,130,34,0.007,NA,2.4,15,550,3,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU10,RÍO NEGRO,2018-09-05,2018-09-05 09:50:00,3291917,NA,NA,55,101.7,9.92,7.32,95.8,NA,5,NA,14.1,40,NA,NA,15,NA,1.4,1.7,NA,NA,NA,1.7,5.9,NA,0.059,NA,65,98,0.66,0.014,1.09,110,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,79,38,100,29.7,NA,NA,3,23,850,20,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190
Rio Uruguay,RU15,RÍO NEGRO,2018-09-05,2018-09-05 10:30:00,3291922,NA,NA,38,75.2,10.09,6.88,98.1,39,45,6,14.3,25,NA,NA,12,NA,3.7,1.5,NA,NA,NA,1.6,5.4,NA,0.045,NA,50,110,0.63,0.012,1.16,680,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,130,90,39,130,76.4,NA,NA,2046,19,2900,86,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190
Rio Uruguay,RU8,RÍO NEGRO,2018-09-04,2018-09-04 11:30:00,3291915,NA,NA,44,86.5,9.72,7.3,94.2,5,6,NA,14.5,40,NA,NA,12,NA,1.8,2.6,NA,NA,NA,1.9,5.4,NA,0.099,NA,55,100,0.69,0.012,1.15,150,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,120,75,41,100,28,NA,NA,2561,22,600,25,NA,0.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220
Rio Uruguay,RU2,RÍO NEGRO,2018-09-04,2018-09-04 10:00:00,3291909,NA,NA,43,83,8.89,6.8,84.8,5,6,NA,13.6,51,NA,NA,9.7,NA,1.7,2.4,NA,NA,NA,1.8,4.7,NA,0.047,NA,59,89,0.44,0.01,1.21,160,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,66,42,100,24.8,NA,NA,2.1,21,530,38,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260
Rio Uruguay,RU11,RÍO NEGRO,2018-09-05,2018-09-05 09:20:00,3291918,NA,NA,45,87.5,9.62,7.21,93.1,9,11,NA,14.2,35,NA,NA,12,NA,1.9,1.4,NA,NA,NA,1.7,4.1,NA,0.045,NA,55,92,0.52,0.01,0.96,110,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,110,71,38,100,40.5,NA,NA,2067,18,930,30,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310
Rio Uruguay,RU3,RÍO NEGRO,2018-09-04,2018-09-04 10:15:00,3291910,NA,NA,44,85.4,9.69,6.94,93,12,14,NA,13.9,45,NA,NA,11,NA,1.9,2.3,NA,NA,NA,1.6,4.1,NA,0.05,NA,59,100,0.53,0.013,1.07,360,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,110,72,41,100,30.7,NA,NA,2163,18,1400,60,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330
